id,Accuracy,Precision,Recall,F1
1,0.825,0.44966442953020136,0.41875,0.43365695792880254
2,0.844,0.5909090909090909,0.08125,0.14285714285714285
3,0.823,0.4484848484848485,0.4625,0.4553846153846154
4,0.836,0.47560975609756095,0.24375,0.32231404958677684
5,0.838,0.48333333333333334,0.18125,0.2636363636363636
6,0.806,0.415,0.51875,0.4611111111111111
7,0.831,0.4645669291338583,0.36875,0.4111498257839722
8,0.833,0.4728682170542636,0.38125,0.42214532871972316
9,0.839,0.4935064935064935,0.2375,0.3206751054852321
10,0.844,0.5625,0.1125,0.18749999999999997
11,0.84,0.5,0.1125,0.18367346938775508
12,0.833,0.47651006711409394,0.44375,0.459546925566343
13,0.822,0.4444444444444444,0.45,0.4472049689440994
14,0.842,0.5125,0.25625,0.3416666666666667
15,0.833,0.46846846846846846,0.325,0.38376383763837635
16,0.827,0.45806451612903226,0.44375,0.45079365079365075
17,0.804,0.4158878504672897,0.55625,0.4759358288770053
18,0.842,0.5263157894736842,0.125,0.20202020202020202
19,0.84,0.5,0.4,0.4444444444444445
20,0.831,0.46564885496183206,0.38125,0.41924398625429554
21,0.81,0.41935483870967744,0.4875,0.4508670520231214
22,0.833,0.47368421052631576,0.39375,0.4300341296928327
23,0.807,0.41450777202072536,0.5,0.45325779036827196
24,0.836,0.4772727272727273,0.2625,0.3387096774193549
25,0.816,0.43478260869565216,0.5,0.46511627906976744
26,0.843,0.5365853658536586,0.1375,0.21890547263681595
27,0.839,0.49382716049382713,0.25,0.33195020746887965
28,0.839,0.49019607843137253,0.15625,0.2369668246445497
29,0.806,0.41237113402061853,0.5,0.4519774011299435
30,0.826,0.4583333333333333,0.48125,0.46951219512195125
31,0.818,0.42948717948717946,0.41875,0.4240506329113924
32,0.841,0.5116279069767442,0.1375,0.21674876847290644
33,0.821,0.4409937888198758,0.44375,0.44236760124610597
34,0.828,0.463855421686747,0.48125,0.4723926380368098
35,0.843,0.5283018867924528,0.175,0.26291079812206575
36,0.822,0.4476744186046512,0.48125,0.463855421686747
37,0.833,0.47244094488188976,0.375,0.41811846689895465
38,0.843,0.5111111111111111,0.43125,0.4677966101694915
39,0.81,0.42105263157894735,0.5,0.45714285714285713
40,0.845,0.5641025641025641,0.1375,0.22110552763819097
41,0.809,0.41798941798941797,0.49375,0.45272206303724927
42,0.845,0.5581395348837209,0.15,0.23645320197044334
43,0.828,0.45774647887323944,0.40625,0.4304635761589404
44,0.839,0.49056603773584906,0.1625,0.24413145539906103
